Item,Frequency,Condition,HighLowFreq
go,660.76,RhymePrime,HighFreq
think,563.22,RhymePrime,HighFreq
find,410.28,RhymePrime,HighFreq
give,405.12,RhymePrime,HighFreq
tell,265.72,RhymePrime,HighFreq
keep,257.96,RhymePrime,HighFreq
leave,195.71,RhymePrime,HighFreq
bring,147.26,RhymePrime,HighFreq
meet,145.67,RhymePrime,HighFreq
hold,134.88,RhymePrime,HighFreq
fall,117.08,RhymePrime,HighFreq
win,108.8,RhymePrime,HighFreq
stand,107.81,RhymePrime,HighFreq
got,457.81,IrregPTPrime,HighFreq
took,403.38,IrregPTPrime,HighFreq
went,432.82,IrregPTPrime,HighFreq
thought,532.26,IrregPTPrime,HighFreq
found,521.18,IrregPTPrime,HighFreq
gave,238.74,IrregPTPrime,HighFreq
told,373.18,IrregPTPrime,HighFreq
kept,146.43,IrregPTPrime,HighFreq
left,259.97,IrregPTPrime,HighFreq
brought,210.49,IrregPTPrime,HighFreq
met,150.25,IrregPTPrime,HighFreq
held,302.91,IrregPTPrime,HighFreq
fell,112.15,IrregPTPrime,HighFreq
won,122.97,IrregPTPrime,HighFreq
stood,143.75,IrregPTPrime,HighFreq
put,474.04,Control,HighFreq
walk,98.42,Control,HighFreq
hint,16.16,Control,HighFreq
wait,78.82,Control,HighFreq
tend,60.59,Control,HighFreq
move,195.45,Control,HighFreq
build,72.98,Control,HighFreq
ripped,7.28,Control,HighFreq
shift,41.72,Control,HighFreq
start,213.77,Control,HighFreq
shut,44.1,Control,HighFreq
pulled,88.27,Control,HighFreq
bill,139.65,Control,HighFreq
tan,5.82,Control,HighFreq
crowd,47.4,Control,HighFreq
shrink,3.99,Target,LowFreq
creep,5.75,Target,LowFreq
gnaw,0.4,Target,LowFreq
dwell,3.75,Target,LowFreq
cruise,10.17,Target,LowFreq
snow,36.38,Target,LowFreq
dare,20.65,Target,LowFreq
hide,26.39,Target,LowFreq
reach,86.98,Target,LowFreq
bake,5.11,Target,LowFreq
bang,11.76,Target,LowFreq
wing,30.98,Target,LowFreq
trim,8.16,Target,LowFreq
send,73.92,Target,LowFreq
fight,71.66,Target,LowFreq
jig,1.06,Target,LowFreq
sneeze,0.82,Target,LowFreq
strive,3.76,Target,LowFreq
drink,76.03,RhymePrime,LowFreq
sleep,75.45,RhymePrime,LowFreq
draw,72.63,RhymePrime,LowFreq
sell,72.2,RhymePrime,LowFreq
choose,70.29,RhymePrime,LowFreq
grow,55.89,RhymePrime,LowFreq
wear,47.77,RhymePrime,LowFreq
ride,34.58,RhymePrime,LowFreq
teach,28.47,RhymePrime,LowFreq
wake,27.16,RhymePrime,LowFreq
hang,24.19,RhymePrime,LowFreq
sing,18.33,RhymePrime,LowFreq
swim,14.79,RhymePrime,LowFreq
bend,13.4,RhymePrime,LowFreq
bite,13.04,RhymePrime,LowFreq
dig,10.38,RhymePrime,LowFreq
freeze,9.33,RhymePrime,LowFreq
drive,91.23,RhymePrime,LowFreq
drank,15.6,IrregPTPrime,LowFreq
slept,18.34,IrregPTPrime,LowFreq
drew,55.31,IrregPTPrime,LowFreq
sold,87.18,IrregPTPrime,LowFreq
chose,30.16,IrregPTPrime,LowFreq
grew,49.5,IrregPTPrime,LowFreq
wore,32.11,IrregPTPrime,LowFreq
rode,12.26,IrregPTPrime,LowFreq
taught,40.21,IrregPTPrime,LowFreq
woke,14.19,IrregPTPrime,LowFreq
hung,34.05,IrregPTPrime,LowFreq
sang,12.42,IrregPTPrime,LowFreq
swam,4.57,IrregPTPrime,LowFreq
bent,25.91,IrregPTPrime,LowFreq
bit,79.6,IrregPTPrime,LowFreq
dug,11.37,IrregPTPrime,LowFreq
froze,5.07,IrregPTPrime,LowFreq
drove,39.33,IrregPTPrime,LowFreq
snack,3.69,Control,LowFreq
print,31.77,Control,LowFreq
glue,5.01,Control,LowFreq
yield,23.02,Control,LowFreq
praise,17.47,Control,LowFreq
flee,6.98,Control,LowFreq
purr,0.74,Control,LowFreq
feed,31.83,Control,LowFreq
doubt,70.64,Control,LowFreq
lurk,1.34,Control,LowFreq
sting,6.15,Control,LowFreq
throng,2.61,Control,LowFreq
cram,1.49,Control,LowFreq
rant,0.71,Control,LowFreq
chat,11.93,Control,LowFreq
chug,0.14,Control,LowFreq
glaze,1.83,Control,LowFreq
shove,2.55,Control,LowFreq
greet,,Real,
nank,,Nonce,
vake,,Nonce,
coax,,Real,
snorted,,Real,
leat,,Nonce,
chalked,,Real,
gend,,Nonce,
thwart,,Real,
slast,,Nonce,
